Date,Adj Close
2024-01-02,185.15228271484375
2024-01-03,183.7659454345703
2024-01-04,181.43209838867188
2024-01-05,180.70399475097656
2024-01-08,185.07249450683594
2024-01-09,184.65359497070312
2024-01-10,185.70083618164062
2024-01-11,185.1024169921875
2024-01-12,185.43154907226562
2024-01-16,183.14756774902344
2024-01-17,182.20005798339844
2024-01-18,188.1344451904297
2024-01-19,191.05673217773438
2024-01-22,193.38059997558594
2024-01-23,194.66722106933594
2024-01-24,193.98899841308594
2024-01-25,193.65988159179688
2024-01-26,191.9144744873047
2024-01-29,191.22628784179688
2024-01-30,187.5459747314453
2024-01-31,183.91554260253906
2024-02-01,186.3690948486328
2024-02-02,185.3617401123047
2024-02-05,187.18692016601562
2024-02-06,188.80267333984375
2024-02-07,188.9123992919922
2024-02-08,187.82525634765625
2024-02-09,188.59420776367188
2024-02-12,186.89649963378906
2024-02-13,184.7893524169922
2024-02-14,183.9005584716797
2024-02-15,183.6109619140625
2024-02-16,182.06304931640625
2024-02-20,181.31407165527344
2024-02-21,182.07305908203125
2024-02-22,184.12026977539062
2024-02-23,182.2727813720703
2024-02-26,180.9146270751953
2024-02-27,182.38262939453125
2024-02-28,181.17425537109375
2024-02-29,180.5051727294922
2024-03-01,179.41665649414062
2024-03-04,174.86282348632812
2024-03-05,169.8895721435547
2024-03-06,168.8909149169922
2024-03-07,168.77108764648438
2024-03-08,170.4987335205078
2024-03-11,172.51600646972656
2024-03-12,172.99534606933594
2024-03-13,170.89820861816406
2024-03-14,172.7656707763672
2024-03-15,172.3861846923828
2024-03-18,173.4846954345703
2024-03-19,175.84149169921875
2024-03-20,178.42799377441406
2024-03-21,171.13787841796875
2024-03-22,172.04664611816406
2024-03-25,170.61859130859375
2024-03-26,169.48013305664062
2024-03-27,173.0752410888672
2024-03-28,171.2477264404297
2024-04-01,169.79969787597656
2024-04-02,168.61129760742188
2024-04-03,169.42019653320312
2024-04-04,168.59133911132812
2024-04-05,169.3502960205078
2024-04-08,168.22183227539062
2024-04-09,169.44017028808594
2024-04-10,167.552734375
2024-04-11,174.8029022216797
2024-04-12,176.3108673095703
2024-04-15,172.45608520507812
2024-04-16,169.15057373046875
2024-04-17,167.77244567871094
2024-04-18,166.81373596191406
2024-04-19,164.77650451660156
2024-04-22,165.6153564453125
2024-04-23,166.67391967773438
2024-04-24,168.7910614013672
2024-04-25,169.65988159179688
2024-04-26,169.0706787109375
2024-04-29,173.26498413085938
2024-04-30,170.0992889404297
2024-05-01,169.0706787109375
2024-05-02,172.79562377929688
2024-05-03,183.13160705566406
2024-05-06,181.46388244628906
2024-05-07,182.15292358398438
2024-05-08,182.4924774169922
2024-05-09,184.32000732421875
2024-05-10,183.0500030517578
2024-05-13,186.27999877929688
2024-05-14,187.42999267578125
2024-05-15,189.72000122070312
2024-05-16,189.83999633789062
2024-05-17,189.8699951171875
2024-05-20,191.0399932861328
2024-05-21,192.35000610351562
2024-05-22,190.89999389648438
2024-05-23,186.8800048828125
2024-05-24,189.97999572753906
2024-05-28,189.99000549316406
2024-05-29,190.2899932861328
2024-05-30,191.2899932861328
2024-05-31,192.25
2024-06-03,194.02999877929688
2024-06-04,194.35000610351562
2024-06-05,195.8699951171875
2024-06-06,194.47999572753906
2024-06-07,196.88999938964844
2024-06-10,193.1199951171875
2024-06-11,207.14999389648438
2024-06-12,213.07000732421875
2024-06-13,214.24000549316406
2024-06-14,212.49000549316406
2024-06-17,216.6699981689453
2024-06-18,214.2899932861328
2024-06-20,209.67999267578125
2024-06-21,207.49000549316406
